Temperatura,pH,O2  (mg/L),Amonio   (mg/L),TASA MORTALIDAD SI=1/NO=0
28.60,6.30,9.30,0.15,0
29.40,6.40,7.20,0.17,0
21.04,7.40,5.46,0.25,0
21.03,7.40,5.46,0.25,0
21.01,7.40,5.46,0.25,0
21.00,7.40,5.46,0.25,0
20.99,7.40,5.47,0.25,0
20.97,7.40,5.47,0.25,0
20.96,7.40,5.47,0.24,0
20.95,7.41,5.47,0.24,0
20.93,7.41,5.47,0.24,0
20.92,7.41,5.47,0.24,0
20.91,7.41,5.48,0.24,0
20.90,7.41,5.48,0.24,0
20.88,7.41,5.48,0.24,0
20.87,7.41,5.48,0.24,0
20.86,7.41,5.48,0.24,0
20.84,7.41,5.49,0.24,0
20.83,7.42,5.49,0.24,0
20.82,7.42,5.49,0.24,0
20.80,7.42,5.49,0.24,0
20.79,7.42,5.49,0.24,0
20.78,7.42,5.50,0.24,0
20.77,7.42,5.50,0.24,0
20.75,7.42,5.50,0.24,0
20.74,7.42,5.50,0.24,0
20.73,7.42,5.50,0.24,0
20.71,7.42,5.50,0.24,0
20.70,7.43,5.51,0.24,0
20.69,7.43,5.51,0.24,0
20.67,7.43,5.51,0.24,0
20.66,7.43,5.51,0.24,0
20.65,7.43,5.51,0.24,0
20.63,7.43,5.52,0.24,0
20.62,7.43,5.52,0.24,0
20.61,7.43,5.52,0.24,0
20.60,7.43,5.52,0.24,0
20.58,7.44,5.52,0.24,0
20.57,7.44,5.53,0.24,0
20.56,7.44,5.53,0.24,0
20.54,7.44,5.53,0.24,0
20.53,7.44,5.53,0.24,0
20.52,7.44,5.53,0.24,0
20.50,7.44,5.54,0.24,0
20.49,7.44,5.54,0.24,0
20.48,7.44,5.54,0.24,0
20.47,7.45,5.54,0.24,0
20.45,7.45,5.54,0.24,0
20.44,7.45,5.54,0.24,0
20.43,7.45,5.55,0.23,0
20.41,7.45,5.55,0.23,0
20.40,7.45,5.55,0.23,0
20.39,7.45,5.55,0.23,0
20.37,7.45,5.55,0.23,0
20.36,7.45,5.56,0.23,0
20.35,7.45,5.56,0.23,0
20.33,7.46,5.56,0.23,0
20.32,7.46,5.56,0.23,0
20.31,7.46,5.56,0.23,0
20.30,7.46,5.57,0.23,0
20.28,7.46,5.57,0.23,0
20.27,7.46,5.57,0.23,0
